precision,recall,f_measure,average_precision,query_time,average_query_time,median_query_time
0.0,0.0,0.0,0.0,7.38,7.38,7.38
0.1,0.17,0.12,0.11,4.95,6.16,6.16
0.1,1.0,0.18,0.5,18.69,10.34,7.38
0.0,0.0,0.0,0.0,9.74,10.19,8.56
0.3,0.75,0.43,0.44,8.26,9.8,8.26
0.1,1.0,0.18,1.0,5.26,9.05,7.82
0.4,1.0,0.57,0.89,16.33,10.09,8.26
0.1,1.0,0.18,1.0,2.02,9.08,7.82
0.1,1.0,0.18,1.0,9.13,9.08,8.26
0.4,0.67,0.5,0.72,10.1,9.19,8.69
0.7,0.32,0.44,0.9,4.22,8.73,8.26
0.1,0.33,0.15,0.25,5.19,8.44,7.82
0.2,1.0,0.33,1.0,13.69,8.84,8.26
0.1,1.0,0.18,1.0,10.0,8.93,8.69
0.6,0.86,0.71,0.76,2.16,8.47,8.26
0.4,0.67,0.5,0.79,3.7,8.18,7.82
0.1,1.0,0.18,1.0,3.46,7.9,7.38
0.1,1.0,0.18,1.0,12.33,8.14,7.82
0.1,0.5,0.17,0.2,9.28,8.2,8.26
0.6,0.4,0.48,0.78,6.98,8.14,7.82
0.4,0.29,0.33,0.51,3.28,7.91,7.38
0.1,0.33,0.15,0.33,2.7,7.67,7.18
0.6,0.46,0.52,0.8,4.42,7.53,6.98
0.2,1.0,0.33,0.83,17.78,7.96,7.18
0.1,0.5,0.17,1.0,8.78,7.99,7.38
0.3,0.33,0.32,0.7,6.33,7.93,7.18
0.2,1.0,0.33,1.0,7.25,7.9,7.25
0.0,0.0,0.0,0.0,5.56,7.82,7.11
0.2,1.0,0.33,1.0,10.27,7.9,7.25
0.1,0.5,0.17,0.33,7.62,7.89,7.31
0.8,0.38,0.52,0.93,8.04,7.9,7.38
0.2,1.0,0.33,0.38,2.79,7.74,7.31
0.0,0.0,0.0,0.0,6.04,7.69,7.25
0.1,1.0,0.18,1.0,20.49,8.06,7.31
0.7,0.88,0.78,0.85,3.5,7.93,7.25
0.8,0.57,0.67,0.7,10.65,8.01,7.31
0.2,1.0,0.33,1.0,8.15,8.01,7.38
0.1,1.0,0.18,1.0,11.27,8.1,7.5
0.5,0.83,0.62,0.88,13.88,8.25,7.62
0.2,1.0,0.33,0.5,2.02,8.09,7.5
0.9,0.41,0.56,0.93,4.43,8.0,7.38
0.5,1.0,0.67,0.69,15.68,8.19,7.5
0.1,1.0,0.18,1.0,1.53,8.03,7.38
0.1,1.0,0.18,1.0,6.66,8.0,7.31
0.0,0.0,0.0,0.0,4.2,7.92,7.25
0.1,1.0,0.18,1.0,9.78,7.96,7.31
0.0,0.0,0.0,0.0,8.72,7.97,7.38
0.0,0.0,0.0,0.0,2.99,7.87,7.31
0.4,0.5,0.44,0.88,5.91,7.83,7.25
0.2,0.67,0.31,0.27,12.8,7.93,7.31
0.1,0.33,0.15,0.5,8.31,7.94,7.38
0.3,0.6,0.4,0.36,4.24,7.86,7.31
0.0,0.0,0.0,0.0,8.62,7.88,7.38
0.6,0.5,0.55,0.54,1.7,7.76,7.31
0.0,0.0,0.0,0.0,2.77,7.67,7.25
0.4,0.44,0.42,0.75,1.26,7.56,7.11
0.1,1.0,0.18,0.12,3.07,7.48,6.98
0.2,1.0,0.33,1.0,4.34,7.43,6.82
0.0,0.0,0.0,0.0,9.6,7.46,6.98
0.3,1.0,0.46,1.0,3.11,7.39,6.82
0.6,0.86,0.71,0.96,5.45,7.36,6.66
0.0,0.0,0.0,0.0,4.45,7.31,6.5
0.0,0.0,0.0,0.0,6.16,7.29,6.33
0.0,0.0,0.0,0.0,8.0,7.3,6.5
0.3,0.38,0.33,0.39,6.52,7.29,6.52
0.3,0.5,0.37,0.7,5.43,7.26,6.43
0.0,0.0,0.0,0.0,2.3,7.19,6.33
0.7,0.7,0.7,0.8,3.45,7.13,6.25
0.1,1.0,0.18,0.33,3.09,7.08,6.16
0.1,1.0,0.18,1.0,3.82,7.03,6.1
0.2,0.22,0.21,0.42,5.12,7.0,6.04
0.0,0.0,0.0,0.0,4.32,6.97,5.97
0.1,1.0,0.18,0.5,8.1,6.98,6.04
0.1,1.0,0.18,0.5,5.52,6.96,5.97
0.1,0.25,0.14,0.1,2.96,6.91,5.91
0.1,1.0,0.18,0.5,1.74,6.84,5.74
0.2,0.67,0.31,0.83,2.95,6.79,5.56
0.1,1.0,0.18,1.0,1.39,6.72,5.54
0.0,0.0,0.0,0.0,4.21,6.69,5.52
0.0,0.0,0.0,0.0,11.68,6.75,5.54
0.3,1.0,0.46,0.81,1.59,6.69,5.52
0.1,0.14,0.12,1.0,5.67,6.67,5.54
0.3,0.6,0.4,0.42,4.57,6.65,5.52
0.3,0.75,0.43,0.79,3.68,6.61,5.49
0.0,0.0,0.0,0.0,4.06,6.58,5.45
0.1,1.0,0.18,1.0,3.07,6.54,5.44
0.1,0.33,0.15,0.12,3.86,6.51,5.43
0.1,0.25,0.14,1.0,4.84,6.49,5.34
0.0,0.0,0.0,0.0,3.06,6.45,5.26
0.1,1.0,0.18,1.0,0.51,6.39,5.22
0.0,0.0,0.0,0.0,2.06,6.34,5.19
0.1,0.2,0.13,0.2,3.31,6.31,5.15
0.7,1.0,0.82,0.91,4.13,6.28,5.12
0.1,0.11,0.11,0.12,1.54,6.23,5.03
0.0,0.0,0.0,0.0,17.07,6.35,5.12
0.0,0.0,0.0,0.0,5.19,6.34,5.15
0.0,0.0,0.0,0.0,3.16,6.3,5.12
0.0,0.0,0.0,0.0,1.94,6.26,5.03
0.3,0.6,0.4,0.33,2.4,6.22,4.95
0.5,0.29,0.37,0.61,8.59,6.24,5.03
